title,description,artist,country,culture,teaserText,url,image,regularImage,largeImage,date,medium,accessionNumber,galleryInformation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
A puritan resting' : an elderly man sleeping in a chair accompanied by his dog,"Antonio Orellana (Mexican, fl. 1860s)",Antonio Orellana,unknown,unknown," Antonio Orellana (Mexican, fl. 1860s)   Date: 1860 (reprinted 1938)Accession Number: 46.46.452(16) ",/art/collection/search/748410?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=1,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Engraving,46.46.452(16),unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Gallant conversation'  (Conversation galante): couples engage in conversation in a garden setting, at left a musician plays for the group, at right a woman holds a reclining lap dog","Jacques Philippe Le Bas (French, Paris 1707–1783 Paris)",Jacques Philippe Le Bas,unknown,unknown," Jacques Philippe Le Bas (French, Paris 1707–1783 Paris)   Date: 1743Accession Number: 2012.136.844 ",/art/collection/search/416826?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=2,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP831908.jpg,dp/web-additional/DP831908.jpg,dp/web-large/DP831908.jpg,18th Century,Etching,2.012.136.844,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Trio'  a woman holding a child, a dog lower left","Jean Charlot (French, Paris 1898–1979 Honolulu, Hawaii)",Jean Charlot,unknown,unknown," Jean Charlot (French, Paris 1898–1979 Honolulu, Hawaii)   Date: 1950Accession Number: 61.603.18 ",/art/collection/search/747280?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=3,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Lithograph,71.03.18,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
" Sketches of Andrée Bonnard, the dog Ravageau, Claude Terrasse and, at lower left, the artist, himself, c. 1889    A Grass Hut before a Wattled Fence","Pierre Bonnard (French, Fontenay-aux-Roses 1867–1947 Le Cannet)",Pierre Bonnard,unknown,unknown," Pierre Bonnard (French, Fontenay-aux-Roses 1867–1947 Le Cannet)   Date: ca. 1889Accession Number: 1998.198a, b ",/art/collection/search/336010?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=4,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP805356.jpg,dp/web-additional/DP805356.jpg,dp/web-large/DP805356.jpg,20th Century,Illustration,"1998.198a, b",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Abraham and Hagar in the foreground, with an angel behind her left shoulder and a young boy seated on the ground with a dog in the left background  on the right, Sarah watches from inside a shelter, with two male passersby at the far right","Carlo Faucci (Italian, 1729–ca. 1784)",Carlo Faucci,unknown,unknown," Carlo Faucci (Italian, 1729–ca. 1784)   Date: 1766Accession Number: 62.650.531bis ",/art/collection/search/747112?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=5,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,18th Century,Engraving,62.650.531bis,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Actress holding a dog and wearing a hat and gloves from Actresses ( ) () issued by National Cigarette &   Tobacco Co. to promote Admiral Cigarette,Issued by National Cigarette &   Tobacco Co. ,National Cigarette & Tobacco Co.,unknown,unknown,"Issued by National Cigarette &   Tobacco Co.  Date: ca. 1888–95Accession Number: Burdick 225,  .909 ",/art/collection/search/651516?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=6,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Photograph,"Burdick 225,  .909",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Actress holding black and white dog to shoulder, from the Actresses     to promote Honest Long Cut Tobacco manufactured by W. Duke Sons &   Co.","Issued by W. Duke, Sons &   Co. (New York and Durham, N.C.)","W. Duke, Sons & Co.",unknown,unknown," Issued by W. Duke, Sons &   Co. (New York and Durham, N.C.)   Date: ca. 1889Accession Number: 63.350.205.96.25 ",/art/collection/search/428150?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=7,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Lithograph,63.350.205.96.25,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Actress holding dog and parasol, from the Actresses     promoting Old Fashion Fine Cut Tobacco",unknown,unknown,unknown,unknown," Date: 1888–90Accession Number: Burdick 230, N664.150 ",/art/collection/search/710242?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=8,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB869700.jpg,dp/web-additional/DPB869700.jpg,dp/web-large/DPB869700.jpg,20th Century,Photograph,"Burdick 230, N664.150",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Actress with hat seated and holding small dog on hip, from the Actors and  Actresses     issued by W. Duke Sons &   Co.","Issued by W. Duke, Sons &   Co. (New York and Durham, N.C.)","W. Duke, Sons & Co.",unknown,unknown," Issued by W. Duke, Sons &   Co. (New York and Durham, N.C.)   Date: 1889Accession Number: Burdick 209, N150a.452 ",/art/collection/search/887825?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=9,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Photograph,"Burdick 209, N150a.452",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Actress with small dog from Actresses issued by National Cigarette &   Tobacco Co. to promote Admiral Cigarette,Issued by National Cigarette &   Tobacco Co. ,National Cigarette & Tobacco Co.,unknown,unknown," Issued by National Cigarette &   Tobacco Co.  Date: ca. 1888–95Accession Number: Burdick 225,  .972 ",/art/collection/search/898314?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=10,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Photograph,"Burdick 225,  .972",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
